Jaccard
Opening and cleaning files...
Getting k-grams...
Getting minHashes...
Calculating empirical...
Calculating theoretical...
['hamlet_chapter1', 'hamlet_chapter2', 'hamlet_chapter3', 'hamlet_chapter4', 'hamlet_chapter5', 'kingLear_chapter1', 'kingLear_chapter2', 'kingLear_chapter3', 'kingLear_chapter4', 'kingLear_chapter5', 'othello_chapter1', 'othello_chapter2', 'othello_chapter3', 'othello_chapter4', 'othello_chapter5', 'romeoJuliet_chapter1', 'romeoJuliet_chapter2', 'romeoJuliet_chapter3', 'romeoJuliet_chapter4', 'romeoJuliet_chapter5', 'romeoJuliet_prologue', 'ulysses_chapter1', 'ulysses_chapter2', 'ulysses_chapter3']
Comparison: empirical | theoretical | sanity-check
hamlet_chapter4 vs kingLear_chapter1:   0.09375 | 0.1042059578722534 | 0.7941176470588235
hamlet_chapter4 vs kingLear_chapter2:   0.08984375 | 0.09757694826457106 | 0.7941176470588235
hamlet_chapter4 vs kingLear_chapter3:   0.078125 | 0.09242183359830419 | 0.8823529411764706
hamlet_chapter4 vs kingLear_chapter4:   0.08203125 | 0.09837086488640893 | 0.7941176470588235
hamlet_chapter4 vs kingLear_chapter5:   0.05859375 | 0.08927974725842219 | 0.7941176470588235
hamlet_chapter4 vs othello_chapter1:    0.06640625 | 0.10405285224240884 | 0.7941176470588235
hamlet_chapter4 vs othello_chapter2:    0.09765625 | 0.10300905490957701 | 0.7941176470588235
hamlet_chapter4 vs othello_chapter3:    0.10546875 | 0.10408085912823753 | 0.7941176470588235
hamlet_chapter4 vs othello_chapter4:    0.0859375 | 0.09787764616593934 | 0.7941176470588235
hamlet_chapter4 vs othello_chapter5:    0.08203125 | 0.08825086780020004 | 0.7941176470588235
hamlet_chapter4 vs romeoJuliet_chapter1:        0.0625 | 0.09382414088296441 | 0.8823529411764706
hamlet_chapter4 vs romeoJuliet_chapter2:        0.09765625 | 0.09403897393030668 | 0.7941176470588235
hamlet_chapter4 vs romeoJuliet_chapter3:        0.08984375 | 0.09568736380833792 | 0.7941176470588235
hamlet_chapter4 vs romeoJuliet_chapter4:        0.08203125 | 0.08315805995919008 | 0.8823529411764706
hamlet_chapter4 vs romeoJuliet_chapter5:        0.0703125 | 0.08094440213252095 | 0.8235294117647058
hamlet_chapter4 vs romeoJuliet_prologue:        0.00390625 | 0.007186858316221766 | 0.7058823529411765
hamlet_chapter4 vs ulysses_chapter1:    0.05859375 | 0.07049236082042695 | 0.8648648648648649
hamlet_chapter4 vs ulysses_chapter2:    0.01953125 | 0.03271766092879009 | 0.918918918918919
hamlet_chapter4 vs ulysses_chapter3:    0.04296875 | 0.047597535100453794 | 0.918918918918919
hamlet_chapter5 vs hamlet_chapter5:     1.0 | 1.0 | 1.0
hamlet_chapter5 vs kingLear_chapter1:   0.1015625 | 0.10142599357422649 | 0.9
